Trial 	Time    	PosX    	PosY    	PosZ    	VelX    	VelY    	VelZ    	Speed   
1     	5.140   	0.001   	0.999   	2.298   	0.000   	0.000   	0.000   	0.000   
1     	5.164   	0.001   	0.999   	2.298   	-0.019  	-0.008  	-0.006  	0.022   
1     	5.183   	0.000   	0.998   	2.298   	-0.018  	-0.019  	0.014   	0.030   
1     	5.204   	0.000   	0.998   	2.298   	0.001   	-0.014  	0.009   	0.016   
1     	5.221   	0.000   	0.998   	2.299   	0.003   	-0.004  	0.006   	0.008   
1     	5.240   	0.001   	0.998   	2.299   	0.018   	0.011   	-0.004  	0.021   
1     	5.259   	0.001   	0.998   	2.298   	0.014   	0.009   	-0.002  	0.017   
1     	5.279   	0.001   	0.998   	2.298   	0.006   	0.001   	-0.001  	0.006   
1     	5.300   	0.001   	0.998   	2.299   	-0.010  	-0.015  	0.008   	0.020   
1     	5.321   	0.000   	0.997   	2.299   	-0.034  	-0.020  	0.009   	0.041   
1     	5.340   	0.000   	0.997   	2.299   	-0.021  	-0.015  	0.011   	0.028   
1     	5.361   	0.000   	0.997   	2.299   	0.005   	-0.009  	-0.003  	0.010   
1     	5.381   	0.000   	0.997   	2.299   	0.014   	0.002   	-0.004  	0.015   
1     	5.401   	0.001   	0.997   	2.299   	0.025   	0.010   	0.009   	0.029   
1     	5.418   	0.001   	0.998   	2.299   	0.007   	0.025   	0.007   	0.027   
1     	5.435   	0.000   	0.998   	2.300   	-0.023  	0.044   	0.025   	0.056   
1     	5.455   	-0.002  	1.001   	2.301   	-0.100  	0.115   	0.087   	0.176   
1     	5.475   	-0.006  	1.006   	2.305   	-0.241  	0.257   	0.165   	0.389   
1     	5.495   	-0.016  	1.016   	2.310   	-0.484  	0.525   	0.292   	0.771   
1     	5.515   	-0.026  	1.028   	2.317   	-0.516  	0.565   	0.302   	0.823   
1     	5.536   	-0.041  	1.043   	2.324   	-0.736  	0.738   	0.371   	1.106   
1     	5.556   	-0.056  	1.057   	2.333   	-0.727  	0.694   	0.452   	1.102   
1     	5.576   	-0.073  	1.073   	2.345   	-0.837  	0.780   	0.568   	1.277   
1     	5.596   	-0.090  	1.086   	2.355   	-0.815  	0.676   	0.511   	1.176   
1     	5.617   	-0.108  	1.101   	2.366   	-0.871  	0.707   	0.539   	1.245   
1     	5.638   	-0.126  	1.112   	2.378   	-0.876  	0.549   	0.547   	1.170   
1     	5.656   	-0.143  	1.122   	2.389   	-0.937  	0.524   	0.638   	1.248   
1     	5.673   	-0.158  	1.129   	2.403   	-0.905  	0.395   	0.801   	1.271   
1     	5.694   	-0.172  	1.135   	2.418   	-0.677  	0.328   	0.744   	1.058   
1     	5.714   	-0.179  	1.144   	2.431   	-0.337  	0.441   	0.621   	0.833   
1     	5.735   	-0.183  	1.153   	2.443   	-0.175  	0.424   	0.543   	0.711   
1     	5.756   	-0.189  	1.161   	2.454   	-0.305  	0.346   	0.562   	0.727   
1     	5.777   	-0.193  	1.166   	2.463   	-0.182  	0.268   	0.416   	0.527   
1     	5.798   	-0.194  	1.172   	2.466   	-0.049  	0.299   	0.141   	0.334   
1     	5.819   	-0.197  	1.178   	2.469   	-0.127  	0.281   	0.129   	0.334   
1     	5.840   	-0.199  	1.183   	2.472   	-0.126  	0.216   	0.144   	0.288   
1     	5.861   	-0.201  	1.185   	2.475   	-0.055  	0.116   	0.145   	0.194   
1     	5.879   	-0.201  	1.184   	2.479   	-0.051  	-0.048  	0.250   	0.260   
1     	5.898   	-0.204  	1.181   	2.485   	-0.160  	-0.170  	0.280   	0.364   
1     	5.919   	-0.209  	1.179   	2.488   	-0.195  	-0.090  	0.182   	0.282   
1     	5.941   	-0.210  	1.182   	2.491   	-0.082  	0.107   	0.102   	0.169   
1     	5.962   	-0.209  	1.186   	2.492   	0.081   	0.199   	0.078   	0.229   
1     	5.983   	-0.206  	1.189   	2.495   	0.112   	0.129   	0.140   	0.220   
1     	6.004   	-0.206  	1.190   	2.498   	0.000   	0.059   	0.127   	0.140   
1     	6.024   	-0.207  	1.190   	2.500   	-0.033  	-0.010  	0.114   	0.119   
1     	6.050   	-0.208  	1.189   	2.504   	-0.034  	-0.046  	0.131   	0.143   
1     	6.071   	-0.209  	1.186   	2.506   	-0.052  	-0.143  	0.115   	0.191   
1     	6.093   	-0.211  	1.183   	2.507   	-0.101  	-0.099  	0.056   	0.152   
1     	6.113   	-0.214  	1.184   	2.506   	-0.121  	0.011   	-0.070  	0.141   
1     	6.131   	-0.214  	1.188   	2.503   	-0.013  	0.247   	-0.127  	0.278   
1     	6.153   	-0.212  	1.193   	2.501   	0.093   	0.242   	-0.095  	0.276   
1     	6.173   	-0.210  	1.196   	2.501   	0.077   	0.135   	-0.032  	0.159   
1     	6.195   	-0.210  	1.197   	2.500   	0.028   	0.056   	-0.017  	0.065   
1     	6.217   	-0.210  	1.197   	2.501   	-0.003  	-0.005  	0.025   	0.025   
2     	9.082   	0.001   	0.998   	2.302   	0.000   	0.000   	0.000   	0.000   
2     	9.106   	0.001   	0.998   	2.302   	0.003   	-0.008  	0.012   	0.015   
2     	9.125   	0.001   	0.998   	2.302   	0.008   	-0.003  	0.011   	0.014   
2     	9.147   	0.001   	0.998   	2.302   	0.006   	0.001   	0.004   	0.007   
2     	9.169   	0.001   	0.998   	2.302   	0.004   	0.002   	0.001   	0.004   
2     	9.189   	0.001   	0.998   	2.302   	-0.008  	0.008   	-0.012  	0.016   
2     	9.210   	0.001   	0.998   	2.302   	-0.022  	0.004   	-0.007  	0.023   
2     	9.231   	0.000   	0.998   	2.302   	-0.007  	0.003   	-0.006  	0.010   
2     	9.252   	0.000   	0.998   	2.302   	-0.009  	0.002   	-0.006  	0.011   
2     	9.272   	0.000   	0.998   	2.302   	-0.002  	0.002   	0.000   	0.003   
2     	9.290   	0.000   	0.998   	2.302   	-0.003  	-0.001  	0.006   	0.007   
2     	9.311   	0.000   	0.999   	2.301   	0.000   	0.011   	-0.016  	0.020   
2     	9.332   	0.001   	0.999   	2.302   	0.020   	0.012   	0.006   	0.024   
2     	9.353   	0.002   	1.000   	2.302   	0.050   	0.051   	0.003   	0.072   
2     	9.374   	0.003   	1.003   	2.303   	0.084   	0.159   	0.065   	0.192   
2     	9.395   	0.006   	1.009   	2.306   	0.106   	0.277   	0.143   	0.329   
2     	9.417   	0.013   	1.023   	2.312   	0.327   	0.630   	0.298   	0.770   
2     	9.438   	0.024   	1.041   	2.320   	0.549   	0.863   	0.354   	1.083   
2     	9.460   	0.039   	1.062   	2.330   	0.660   	0.954   	0.450   	1.244   
2     	9.482   	0.058   	1.086   	2.346   	0.832   	1.053   	0.707   	1.517   
2     	9.502   	0.074   	1.106   	2.364   	0.828   	1.040   	0.917   	1.616   
2     	9.521   	0.090   	1.127   	2.386   	0.844   	1.098   	1.184   	1.822   
2     	9.543   	0.110   	1.147   	2.413   	0.909   	0.900   	1.198   	1.753   
2     	9.564   	0.128   	1.164   	2.441   	0.858   	0.825   	1.352   	1.801   
2     	9.587   	0.143   	1.179   	2.469   	0.683   	0.655   	1.259   	1.575   
2     	9.609   	0.157   	1.191   	2.493   	0.615   	0.553   	1.079   	1.359   
2     	9.631   	0.172   	1.204   	2.507   	0.677   	0.571   	0.625   	1.084   
2     	9.653   	0.185   	1.217   	2.517   	0.578   	0.597   	0.434   	0.937   
2     	9.675   	0.192   	1.223   	2.521   	0.340   	0.293   	0.203   	0.493   
2     	9.697   	0.195   	1.222   	2.522   	0.131   	-0.073  	0.053   	0.159   
2     	9.720   	0.200   	1.220   	2.521   	0.236   	-0.078  	-0.049  	0.254   
2     	9.741   	0.203   	1.218   	2.520   	0.109   	-0.081  	-0.062  	0.150   
2     	9.760   	0.201   	1.217   	2.518   	-0.109  	-0.047  	-0.102  	0.157   
2     	9.780   	0.194   	1.216   	2.516   	-0.327  	-0.056  	-0.114  	0.351   
2     	9.803   	0.189   	1.215   	2.516   	-0.243  	-0.065  	0.011   	0.251   
2     	9.825   	0.185   	1.212   	2.517   	-0.184  	-0.119  	0.051   	0.225   
2     	9.846   	0.184   	1.209   	2.519   	-0.036  	-0.135  	0.096   	0.169   
2     	9.868   	0.185   	1.207   	2.521   	0.047   	-0.088  	0.073   	0.123   
2     	9.890   	0.186   	1.208   	2.521   	0.063   	0.010   	0.032   	0.071   
2     	9.912   	0.189   	1.210   	2.519   	0.131   	0.098   	-0.107  	0.195   
2     	9.934   	0.190   	1.212   	2.518   	0.028   	0.086   	-0.050  	0.104   
2     	9.956   	0.187   	1.212   	2.518   	-0.106  	0.018   	0.006   	0.108   
2     	9.979   	0.186   	1.212   	2.520   	-0.062  	0.019   	0.060   	0.088   
2     	9.998   	0.186   	1.213   	2.520   	-0.024  	0.017   	0.008   	0.030   
3     	12.858  	0.000   	0.998   	2.302   	0.000   	0.000   	0.000   	0.000   
3     	12.882  	0.000   	0.998   	2.302   	0.018   	0.001   	-0.010  	0.020   
3     	12.903  	0.000   	0.998   	2.302   	0.002   	-0.006  	0.003   	0.007   
3     	12.925  	0.000   	0.998   	2.302   	-0.015  	-0.013  	0.001   	0.020   
3     	12.946  	0.000   	0.998   	2.302   	-0.006  	-0.014  	0.001   	0.015   
3     	12.965  	0.000   	0.997   	2.302   	0.023   	-0.012  	-0.005  	0.026   
3     	12.983  	0.001   	0.997   	2.302   	0.029   	0.005   	-0.006  	0.030   
3     	13.005  	0.001   	0.997   	2.302   	0.005   	-0.005  	0.007   	0.010   
3     	13.026  	0.001   	0.997   	2.302   	-0.008  	-0.013  	0.018   	0.024   
3     	13.047  	0.001   	0.997   	2.303   	0.006   	-0.010  	0.016   	0.020   
